Month,,Precipitation
18770716,0.8000001, 
18770717,0.000000, 
18770718,1.200000, 
18770719,1.200000, 
18770720,0.000000, 
18770721,0.000000, 
18770722,0.000000, 
18770723,0.000000, 
18770724,3.800000, 
18770725,0.000000, 
18770726,6.700000, 
18770727,1.000000, 
18770728,1.000000, 
18770729,0.6000000, 
18770730,0.000000, 
18770731,0.000000, 
18770801,16.40000, 
18770802,2.300000, 
18770803,3.800000, 
18770804,0.9000000, 
18770805,0.000000, 
18770806,0.000000, 
18770807,0.000000, 
18770808,23.30000, 
18770809,0.000000, 
18770810,1.000000, 
18770811,14.40000, 
18770812,2.900000, 
18770813,11.60000, 
18770814,24.60000, 
18770815,0.000000, 
18770816,2.400000, 
18770817,4.500000, 
18770818,0.000000, 
18770819,0.8000001, 
18770820,0.000000, 
18770821,1.000000, 
18770822,0.000000, 
18770823,0.000000, 
18770824,0.000000, 
18770825,5.100000, 
18770826,2.100000, 
18770827,1.600000, 
18770828,0.000000, 
18770829,0.000000, 
18770830,0.000000, 
18770831,0.000000, 
18770901,0.000000, 
18770902,0.000000, 
18770903,2.300000, 
18770904,0.000000, 
18770905,0.000000, 
18770906,0.000000, 
18770907,1.900000, 
18770908,0.000000, 
18770909,0.000000, 
18770910,0.000000, 
18770911,0.000000, 
18770912,0.000000, 
18770913,1.000000, 
18770914,0.000000, 
18770915,7.900001, 
18770916,5.800000, 
18770917,0.000000, 
18770918,3.600000, 
18770919,3.600000, 
18770920,1.900000, 
18770921,1.300000, 
18770922,2.300000, 
18770923,5.100000, 
18770924,9.900001, 
18770925,2.300000, 
18770926,0.6000000, 
18770927,0.000000, 
18770928,0.000000, 
18770929,0.000000, 
18770930,0.000000, 
18771001,0.000000, 
18771002,0.000000, 
18771003,4.200000, 
18771004,0.000000, 
18771005,0.000000, 
18771006,0.000000, 
18771007,10.00000, 
18771008,0.2000000, 
18771009,0.000000, 
18771010,0.000000, 
18771011,3.600000, 
18771012,1.100000, 
18771013,1.700000, 
18771014,0.000000, 
18771015,0.000000, 
18771016,2.100000, 
18771017,1.100000, 
18771018,0.5000000, 
18771019,3.200000, 
18771020,0.9000000, 
18771021,0.000000, 
18771022,0.000000, 
18771023,0.000000, 
18771024,0.000000, 
18771025,0.6000000, 
18771026,3.600000, 
18771027,0.000000, 
18771028,0.3000000, 
18771029,1.500000, 
18771030,3.000000, 
18771031,3.200000, 
18771101,3.600000, 
18771102,1.200000, 
18771103,0.9000000, 
18771104,0.000000, 
18771105,0.6000000, 
18771106,0.000000, 
18771107,0.000000, 
18771108,0.000000, 
18771109,0.6000000, 
18771110,1.500000, 
18771111,0.6000000, 
18771112,0.000000, 
18771113,0.000000, 
18771114,0.000000, 
18771115,0.000000, 
18771116,0.000000, 
18771117,0.3000000, 
18771118,0.000000, 
18771119,0.9000000, 
18771120,0.5000000, 
18771121,1.500000, 
18771122,2.800000, 
18771123,3.400000, 
18771124,2.000000, 
18771125,2.500000, 
18771126,1.600000, 
18771127,1.200000, 
18771128,0.000000, 
18771129,0.5000000, 
18771130,2.800000, 
18771201,1.600000, 
18771202,0.6999999, 
18771203,1.200000, 
18771204,0.000000, 
18771205,0.000000, 
18771206,2.400000, 
18771207,0.000000, 
18771208,0.000000, 
18771209,0.000000, 
18771210,0.000000, 
18771211,0.000000, 
18771212,2.400000, 
18771213,0.2000000, 
18771214,0.6000000, 
18771215,3.200000, 
18771216,0.8000001, 
18771217,0.000000, 
18771218,0.000000, 
18771219,0.000000, 
18771220,0.000000, 
18771221,0.000000, 
18771222,2.800000, 
18771223,2.000000, 
18771224,6.700000, 
18771225,0.000000, 
18771226,3.400000, 
18771227,2.000000, 
18771228,1.000000, 
18771229,1.200000, 
18771230,0.2000000, 
18771231,2.200000, 
18780101,0.000000, 
18780102,0.000000, 
18780103,0.000000, 
18780104,1.600000, 
18780105,0.000000, 
18780106,1.600000, 
18780107,0.000000, 
18780108,0.000000, 
18780109,0.6999999, 
18780110,0.000000, 
18780111,0.000000, 
18780112,0.2000000, 
18780113,0.000000, 
18780114,3.400000, 
18780115,0.000000, 
18780116,11.40000, 
18780117,0.2000000, 
18780118,0.000000, 
18780119,0.000000, 
18780120,3.600000, 
18780121,5.400001, 
18780122,5.100000, 
18780123,3.400000, 
18780124,1.200000, 
18780125,0.000000, 
18780126,1.100000, 
18780127,0.000000, 
18780128,0.3000000, 
18780129,0.3000000, 
18780130,0.000000, 
18780131,0.000000, 
18780201,1.600000, 
18780202,0.9000000, 
18780203,0.000000, 
18780204,0.000000, 
18780205,0.000000, 
18780206,0.000000, 
18780207,0.1000000, 
18780208,0.9000000, 
18780209,0.000000, 
18780210,0.000000, 
18780211,1.300000, 
18780212,0.000000, 
18780213,0.6999999, 
18780214,0.000000, 
18780215,1.100000, 
18780216,1.500000, 
18780217,0.000000, 
18780218,0.4000000, 
18780219,0.000000, 
18780220,0.000000, 
18780221,1.300000, 
18780222,0.000000, 
18780223,0.1000000, 
18780224,0.4000000, 
18780225,2.100000, 
18780226,0.6999999, 
18780227,1.600000, 
18780228,1.900000, 
18780301,16.90000, 
18780302,0.000000, 
18780303,0.000000, 
18780304,0.000000, 
18780305,4.700000, 
18780306,8.900001, 
18780307,9.900001, 
18780308,1.800000, 
18780309,1.000000, 
18780310,1.500000, 
18780311,11.40000, 
18780312,5.500000, 
18780313,0.8000001, 
18780314,0.8000001, 
18780315,0.5000000, 
18780316,1.500000, 
18780317,1.700000, 
18780318,8.300000, 
18780319,0.000000, 
18780320,2.100000, 
18780321,0.9000000, 
18780322,0.000000, 
18780323,0.1000000, 
18780324,0.1000000, 
18780325,6.500000, 
18780326,0.6999999, 
18780327,2.300000, 
18780328,0.000000, 
18780329,0.000000, 
18780330,8.200000, 
18780331,0.5000000, 
18780401,2.600000, 
18780402,1.900000, 
18780403,5.599999, 
18780404,0.000000, 
18780405,2.700000, 
18780406,0.3000000, 
18780407,0.1000000, 
18780408,6.800000, 
18780409,0.1000000, 
18780410,2.300000, 
18780411,3.400000, 
18780412,0.000000, 
18780413,0.000000, 
18780414,0.000000, 
18780415,0.000000, 
18780416,3.600000, 
18780417,2.400000, 
18780418,0.000000, 
18780419,0.000000, 
18780420,0.6999999, 
18780421,0.000000, 
18780422,0.000000, 
18780423,0.000000, 
18780424,0.000000, 
18780425,3.900000, 
18780426,0.9000000, 
18780427,0.000000, 
18780428,0.000000, 
18780429,0.000000, 
18780430,0.000000, 
18780501,0.000000, 
18780502,0.000000, 
18780503,0.000000, 
18780504,4.300000, 
18780505,0.000000, 
18780506,0.000000, 
18780507,0.000000, 
18780508,0.000000, 
18780509,0.000000, 
18780510,0.000000, 
18780511,0.000000, 
18780512,0.000000, 
18780513,0.000000, 
18780514,0.000000, 
18780515,1.500000, 
18780516,0.000000, 
18780517,0.000000, 
18780518,0.9000000, 
18780519,0.000000, 
18780520,2.900000, 
18780521,1.100000, 
18780522,0.6999999, 
18780523,0.6999999, 
18780524,3.200000, 
18780525,0.000000, 
18780526,0.000000, 
18780527,0.3000000, 
18780528,24.40000, 
18780529,5.300000, 
18780530,0.000000, 
18780531,0.000000, 
18780601,0.000000, 
18780602,0.000000, 
18780603,0.6000000, 
18780604,14.30000, 
18780605,6.599999, 
18780606,0.000000, 
18780607,0.000000, 
18780608,0.000000, 
18780609,4.000000, 
18780610,0.000000, 
18780611,0.000000, 
18780612,11.30000, 
18780613,0.000000, 
18780614,2.400000, 
18780615,12.00000, 
18780616,0.000000, 
18780617,0.000000, 
18780618,0.000000, 
18780619,0.000000, 
18780620,0.000000, 
18780621,0.000000, 
18780622,0.000000, 
18780623,0.000000, 
18780624,0.000000, 
18780625,0.3000000, 
18780626,0.000000, 
18780627,0.000000, 
18780628,5.100000, 
18780629,12.00000, 
18780630,4.000000, 
18780701,0.000000, 
18780702,0.000000, 
18780703,0.8000001, 
18780704,8.300000, 
18780705,3.000000, 
18780706,8.500000, 
18780707,1.000000, 
18780708,1.900000, 
18780709,0.000000, 
18780710,6.400001, 
18780711,4.000000, 
18780712,1.000000, 
18780713,10.10000, 
18780714,0.000000, 
18780715,0.000000, 
18780716,0.1000000, 
18780717,0.6999999, 
18780718,0.3000000, 
18780719,0.000000, 
18780720,0.000000, 
18780721,0.000000, 
18780722,0.000000, 
18780723,0.000000, 
18780724,0.000000, 
18780725,0.000000, 
18780726,0.000000, 
18780727,1.900000, 
18780728,3.700000, 
18780729,14.10000, 
18780730,0.000000, 
18780731,12.70000, 
18780801,8.500000, 
18780802,12.20000, 
18780803,0.000000, 
18780804,0.5000000, 
18780805,0.9000000, 
18780806,0.1000000, 
18780807,0.000000, 
18780808,1.300000, 
18780809,0.000000, 
18780810,0.000000, 
18780811,0.000000, 
18780812,0.000000, 
18780813,2.800000, 
18780814,19.00000, 
18780815,0.000000, 
18780816,3.500000, 
18780817,0.000000, 
18780818,0.000000, 
18780819,0.000000, 
18780820,0.000000, 
18780821,0.000000, 
18780822,0.000000, 
18780823,0.000000, 
18780824,7.900001, 
18780825,0.000000, 
18780826,2.200000, 
18780827,1.800000, 
18780828,1.900000, 
18780829,0.000000, 
18780830,0.000000, 
18780831,0.000000, 
18780901,7.400001, 
18780902,3.200000, 
18780903,0.000000, 
18780904,0.000000, 
18780905,0.000000, 
18780906,0.000000, 
18780907,0.000000, 
18780908,0.000000, 
18780909,0.2000000, 
18780910,0.000000, 
18780911,0.000000, 
18780912,0.000000, 
18780913,0.000000, 
18780914,2.900000, 
18780915,2.800000, 
18780916,6.000000, 
18780917,0.4000000, 
18780918,0.3000000, 
18780919,0.000000, 
18780920,1.900000, 
18780921,0.000000, 
18780922,0.1000000, 
18780923,0.000000, 
18780924,0.000000, 
18780925,0.000000, 
18780926,0.000000, 
18780927,0.000000, 
18780928,0.000000, 
18780929,0.000000, 
18780930,2.400000, 
18781001,0.000000, 
18781002,0.2000000, 
18781003,0.000000, 
18781004,0.000000, 
18781005,0.000000, 
18781006,0.000000, 
18781007,0.000000, 
18781008,0.000000, 
18781009,0.8000001, 
18781010,0.5000000, 
18781011,1.600000, 
18781012,0.2000000, 
18781013,0.000000, 
18781014,0.000000, 
18781015,0.3000000, 
18781016,0.000000, 
18781017,1.700000, 
18781018,2.300000, 
18781019,3.400000, 
18781020,0.000000, 
18781021,0.5000000, 
18781022,0.000000, 
18781023,0.3000000, 
18781024,5.100000, 
18781025,1.400000, 
18781026,0.6999999, 
18781027,0.000000, 
18781028,0.000000, 
18781029,0.000000, 
18781030,0.6999999, 
18781031,0.000000, 
18781101,0.000000, 
18781102,0.000000, 
18781103,0.5000000, 
18781104,0.000000, 
18781105,0.000000, 
18781106,0.000000, 
18781107,0.000000, 
18781108,0.000000, 
18781109,1.000000, 
18781110,0.1000000, 
18781111,0.000000, 
18781112,0.000000, 
18781113,0.000000, 
18781114,6.900001, 
18781115,0.000000, 
18781116,0.000000, 
18781117,5.800000, 
18781118,0.2000000, 
18781119,0.000000, 
18781120,0.000000, 
18781121,0.000000, 
18781122,0.000000, 
18781123,0.000000, 
18781124,1.600000, 
18781125,1.200000, 
18781126,0.8000001, 
18781127,0.000000, 
18781128,2.800000, 
18781129,0.000000, 
18781130,2.500000, 
18781201,0.000000, 
18781202,4.300000, 
18781203,5.200000, 
18781204,6.200000, 
18781205,0.9000000, 
18781206,0.6999999, 
18781207,0.000000, 
18781208,0.000000, 
18781209,0.000000, 
18781210,0.9000000, 
18781211,0.000000, 
18781212,0.000000, 
18781213,0.000000, 
18781214,2.800000, 
18781215,0.000000, 
18781216,0.000000, 
18781217,1.200000, 
18781218,1.100000, 
18781219,0.000000, 
18781220,0.000000, 
18781221,0.2000000, 
18781222,0.6999999, 
18781223,0.000000, 
18781224,0.000000, 
18781225,0.000000, 
18781226,0.9000000, 
18781227,0.6000000, 
18781228,0.000000, 
18781229,0.000000, 
18781230,8.800000, 
18781231,2.800000, 
18790101,9.900001, 
18790102,0.000000, 
18790103,3.800000, 
18790104,0.000000, 
18790105,1.400000, 
18790106,7.900001, 
18790107,0.000000, 
18790108,1.400000, 
18790109,2.800000, 
18790110,3.400000, 
18790111,0.000000, 
18790112,0.6000000, 
18790113,0.4000000, 
18790114,0.000000, 
18790115,2.800000, 
18790116,1.400000, 
18790117,0.5000000, 
18790118,0.000000, 
18790119,1.900000, 
18790120,0.000000, 
18790121,0.000000, 
18790122,7.300000, 
18790123,12.50000, 
18790124,7.300000, 
18790125,0.000000, 
18790126,0.000000, 
18790127,0.6999999, 
18790128,0.000000, 
18790129,0.000000, 
18790130,0.000000, 
18790131,0.6999999, 
18790201,0.000000, 
18790202,0.000000, 
18790203,0.000000, 
18790204,0.000000, 
18790205,0.000000, 
18790206,2.800000, 
18790207,2.600000, 
18790208,3.700000, 
18790209,7.599999, 
18790210,2.700000, 
18790211,0.000000, 
18790212,1.100000, 
18790213,0.000000, 
18790214,0.000000, 
18790215,0.6000000, 
18790216,0.3000000, 
18790217,3.900000, 
18790218,3.200000, 
18790219,1.200000, 
18790220,0.9000000, 
18790221,0.6000000, 
18790222,0.000000, 
18790223,16.80000, 
18790224,1.000000, 
18790225,5.000000, 
18790226,3.900000, 
18790227,12.30000, 
18790228,0.000000, 
18790301,1.400000, 
18790302,11.40000, 
18790303,0.000000, 
18790304,0.000000, 
18790305,0.000000, 
18790306,0.9000000, 
18790307,0.000000, 
18790308,0.000000, 
18790309,0.000000, 
18790310,2.200000, 
18790311,1.100000, 
18790312,10.20000, 
18790313,1.400000, 
18790314,0.2000000, 
18790315,4.200000, 
18790316,16.90000, 
18790317,0.4000000, 
18790318,0.000000, 
18790319,0.000000, 
18790320,0.000000, 
18790321,0.000000, 
18790322,0.000000, 
18790323,0.000000, 
18790324,0.000000, 
18790325,0.000000, 
18790326,0.000000, 
18790327,0.000000, 
18790328,0.3000000, 
18790329,0.000000, 
18790330,0.6999999, 
18790331,0.6000000, 
18790401,0.000000, 
18790402,0.000000, 
18790403,0.000000, 
18790404,0.000000, 
18790405,0.000000, 
18790406,3.900000, 
18790407,0.000000, 
18790408,0.000000, 
18790409,0.1000000, 
18790410,0.4000000, 
18790411,0.6999999, 
18790412,0.000000, 
18790413,0.000000, 
18790414,0.2000000, 
18790415,0.000000, 
18790416,5.800000, 
18790417,20.20000, 
18790418,15.10000, 
18790419,0.000000, 
18790420,0.000000, 
18790421,2.300000, 
18790422,7.200000, 
18790423,0.1000000, 
18790424,0.000000, 
18790425,0.000000, 
18790426,0.000000, 
18790427,0.8000001, 
18790428,0.5000000, 
18790429,0.2000000, 
18790430,0.000000, 
18790501,0.000000, 
18790502,0.000000, 
18790503,0.000000, 
18790504,0.000000, 
18790505,0.000000, 
18790506,0.000000, 
18790507,0.000000, 
18790508,0.000000, 
18790509,0.000000, 
18790510,0.000000, 
18790511,0.000000, 
18790512,0.000000, 
18790513,0.000000, 
18790514,0.000000, 
18790515,0.2000000, 
18790516,9.500000, 
18790517,2.000000, 
18790518,0.6999999, 
18790519,0.000000, 
18790520,0.000000, 
18790521,0.000000, 
18790522,0.000000, 
18790523,0.000000, 
18790524,0.000000, 
18790525,0.000000, 
18790526,0.000000, 
18790527,0.000000, 
18790528,0.4000000, 
18790529,0.6000000, 
18790530,1.400000, 
18790531,0.000000, 
18790601,0.000000, 
18790602,0.000000, 
18790603,2.400000, 
18790604,3.300000, 
18790605,0.000000, 
18790606,0.3000000, 
