Month,,Temperature
18760427,8.500000,,
18760428,9.200000,,
18760429,12.70000,,
18760430,11.70000,,
18760501,11.90000,,
18760502,8.500000,,
18760503,7.700000,,
18760504,8.200000,,
18760505,10.30000,,
18760506,10.10000,,
18760507,5.800000,,
18760508,5.400001,,
18760509,6.200000,,
18760510,6.800000,,
18760511,6.800000,,
18760512,7.099999,,
18760513,8.300000,,
18760514,8.000000,,
18760515,9.599999,,
18760516,10.00000,,
18760517,12.00000,,
18760518,11.40000,,
18760519,5.599999,,
18760520,9.200000,,
18760521,11.90000,,
18760522,12.10000,,
18760523,14.00000,,
18760524,14.40000,,
18760525,14.80000,,
18760526,11.90000,,
18760527,9.400001,,
18760528,11.50000,,
18760529,15.40000,,
18760530,16.70000,,
18760531,17.40000,,
18760601,12.70000,,
18760602,14.40000,,
18760603,19.30000,,
18760604,16.60000,,
18760605,17.70000,,
18760606,21.40000,,
18760607,22.70000,,
18760608,17.20000,,
18760609,21.60000,,
18760610,19.60000,,
18760611,19.60000,,
18760612,19.10000,,
18760613,19.60000,,
18760614,18.70000,,
18760615,18.90000,,
18760616,20.80000,,
18760617,15.30000,,
18760618,18.20000,,
18760619,20.00000,,
18760620,19.10000,,
18760621,19.90000,,
18760622,19.90000,,
18760623,16.10000,,
18760624,15.40000,,
18760625,16.20000,,
18760626,17.40000,,
18760627,17.60000,,
18760628,20.60000,,
18760629,20.30000,,
18760630,19.20000,,
18760701,16.70000,,
18760702,17.50000,,
18760703,18.00000,,
18760704,19.10000,,
18760705,20.30000,,
18760706,21.20000,,
18760707,23.20000,,
18760708,23.70000,,
18760709,21.90000,,
18760710,21.70000,,
18760711,17.90000,,
18760712,16.30000,,
18760713,17.30000,,
18760714,18.80000,,
18760715,19.90000,,
18760716,18.70000,,
18760717,19.10000,,
18760718,16.80000,,
18760719,15.40000,,
18760720,16.40000,,
18760721,17.00000,,
18760722,19.10000,,
18760723,21.50000,,
18760724,23.30000,,
18760725,23.90000,,
18760726,20.90000,,
18760727,22.10000,,
18760728,19.20000,,
18760729,19.80000,,
18760730,19.30000,,
18760731,22.90000,,
18760801,20.60000,,
18760802,19.10000,,
18760803,20.50000,,
18760804,21.00000,,
18760805,21.00000,,
18760806,18.30000,,
18760807,20.20000,,
18760808,21.70000,,
18760809,20.20000,,
18760810,20.20000,,
18760811,20.50000,,
18760812,19.90000,,
18760813,21.90000,,
18760814,23.20000,,
18760815,23.90000,,
18760816,18.90000,,
18760817,17.60000,,
18760818,17.40000,,
18760819,19.70000,,
18760820,22.40000,,
18760821,25.10000,,
18760822,22.60000,,
18760823,19.60000,,
18760824,16.20000,,
18760825,15.40000,,
18760826,13.70000,,
18760827,13.90000,,
18760828,14.40000,,
18760829,16.00000,,
18760830,15.70000,,
18760831,13.90000,,
18760901,13.30000,,
18760902,15.00000,,
18760903,14.20000,,
18760904,14.80000,,
18760905,19.50000,,
18760906,20.20000,,
18760907,16.90000,,
18760908,14.20000,,
18760909,13.10000,,
18760910,13.00000,,
18760911,12.50000,,
18760912,13.10000,,
18760913,13.00000,,
18760914,13.80000,,
18760915,13.30000,,
18760916,13.10000,,
18760917,13.00000,,
18760918,13.00000,,
18760919,12.40000,,
18760920,11.90000,,
18760921,11.40000,,
18760922,11.60000,,
18760923,11.90000,,
18760924,12.30000,,
18760925,14.40000,,
18760926,14.30000,,
18760927,13.70000,,
18760928,14.90000,,
18760929,14.40000,,
18760930,13.00000,,
18761001,11.20000,,
18761002,9.599999,,
18761003,11.00000,,
18761004,12.30000,,
18761005,15.90000,,
18761006,15.10000,,
18761007,16.40000,,
18761008,17.10000,,
18761009,17.50000,,
18761010,16.40000,,
18761011,17.60000,,
18761012,19.00000,,
18761013,18.60000,,
18761014,18.40000,,
18761015,16.50000,,
18761016,15.90000,,
18761017,15.90000,,
18761018,13.80000,,
18761019,8.300000,,
18761020,3.700000,,
18761021,3.200000,,
18761022,3.600000,,
18761023,4.800000,,
18761024,8.500000,,
18761025,9.099999,,
18761026,8.900001,,
18761027,9.400001,,
18761028,9.099999,,
18761029,9.700000,,
18761030,6.500000,,
18761031,5.200000,,
18761101,4.700000,,
18761102,5.400001,,
18761103,7.400001,,
18761104,3.600000,,
18761105,1.100000,,
18761106,1.100000,,
18761107,0.6999999,,
18761108,-0.6000000,,
18761109,-1.900000,,
18761110,-3.100000,,
18761111,-4.600000,,
18761112,-3.900000,,
18761113,0.000000,,
18761114,5.599999,,
18761115,5.800000,,
18761116,5.900001,,
18761117,6.200000,,
18761118,8.400001,,
18761119,3.600000,,
18761120,3.200000,,
18761121,-0.2000000,,
18761122,-1.000000,,
18761123,-3.400000,,
18761124,-1.600000,,
18761125,-0.8000001,,
18761126,1.400000,,
18761127,2.600000,,
18761128,5.700000,,
18761129,5.100000,,
18761130,5.400001,,
18761201,3.700000,,
18761202,9.400001,,
18761203,5.700000,,
18761204,5.800000,,
18761205,8.400001,,
18761206,9.300000,,
18761207,8.400001,,
18761208,8.599999,,
18761209,6.500000,,
18761210,6.000000,,
18761211,6.500000,,
18761212,6.099999,,
18761213,4.700000,,
18761214,5.100000,,
18761215,4.000000,,
18761216,2.500000,,
18761217,-0.2000000,,
18761218,-0.1000000,,
18761219,2.300000,,
18761220,-2.000000,,
18761221,-6.700000,,
18761222,-8.900001,,
18761223,-12.10000,,
18761224,-15.90000,,
18761225,-14.00000,,
18761226,-14.20000,,
18761227,-11.50000,,
18761228,-0.4000000,,
18761229,4.900000,,
18761230,6.200000,,
18761231,6.800000,,
18770101,9.099999,,
18770102,5.800000,,
18770103,2.300000,,
18770104,6.200000,,
18770105,6.200000,,
18770106,6.300000,,
18770107,5.500000,,
18770108,8.000000,,
18770109,11.30000,,
18770110,6.500000,,
18770111,1.300000,,
18770112,0.5000000,,
18770113,0.3000000,,
18770114,1.500000,,
18770115,2.100000,,
18770116,4.600000,,
18770117,2.500000,,
18770118,0.6999999,,
18770119,1.100000,,
18770120,5.300000,,
18770121,2.800000,,
18770122,2.100000,,
18770123,2.600000,,
18770124,1.000000,,
18770125,-1.000000,,
18770126,-3.600000,,
18770127,-4.500000,,
18770128,0.9000000,,
18770129,3.700000,,
18770130,3.800000,,
18770131,2.400000,,
18770201,1.000000,,
18770202,0.6999999,,
18770203,0.5000000,,
18770204,2.700000,,
18770205,3.300000,,
18770206,4.800000,,
18770207,7.400001,,
18770208,6.099999,,
18770209,5.300000,,
18770210,4.400000,,
18770211,3.500000,,
18770212,2.100000,,
18770213,-0.6000000,,
18770214,-1.800000,,
18770215,3.700000,,
18770216,6.599999,,
18770217,6.099999,,
18770218,4.100000,,
18770219,6.500000,,
18770220,5.599999,,
18770221,5.200000,,
18770222,2.700000,,
18770223,2.300000,,
18770224,1.900000,,
18770225,5.400001,,
18770226,2.400000,,
18770227,1.100000,,
18770228,-2.800000,,
18770301,-4.000000,,
18770302,-3.100000,,
18770303,-1.000000,,
18770304,1.300000,,
18770305,2.800000,,
18770306,2.100000,,
18770307,1.400000,,
18770308,0.6999999,,
18770309,-2.700000,,
18770310,-3.700000,,
18770311,-1.300000,,
18770312,1.400000,,
18770313,2.300000,,
18770314,4.500000,,
18770315,3.400000,,
18770316,4.300000,,
18770317,3.700000,,
18770318,4.000000,,
18770319,4.500000,,
18770320,3.000000,,
18770321,4.300000,,
18770322,5.100000,,
18770323,3.000000,,
18770324,3.000000,,
18770325,7.300000,,
18770326,9.099999,,
18770327,9.900001,,
18770328,9.099999,,
18770329,8.900001,,
18770330,8.000000,,
18770331,8.099999,,
18770401,7.000000,,
18770402,5.500000,,
18770403,6.200000,,
18770404,8.200000,,
18770405,7.700000,,
18770406,9.599999,,
18770407,10.50000,,
18770408,11.60000,,
18770409,14.30000,,
18770410,16.30000,,
18770411,14.70000,,
18770412,7.300000,,
18770413,6.800000,,
18770414,5.200000,,
18770415,2.100000,,
18770416,3.500000,,
18770417,3.900000,,
18770418,3.600000,,
18770419,6.099999,,
18770420,3.800000,,
18770421,1.300000,,
18770422,1.800000,,
18770423,3.700000,,
18770424,4.600000,,
18770425,3.900000,,
18770426,5.000000,,
18770427,6.000000,,
18770428,9.900001,,
18770429,9.400001,,
18770430,9.400001,,
18770501,7.000000,,
18770502,5.000000,,
18770503,4.200000,,
18770504,5.300000,,
18770505,6.599999,,
18770506,6.500000,,
18770507,8.700000,,
18770508,10.00000,,
18770509,13.50000,,
18770510,13.50000,,
18770511,12.50000,,
18770512,14.90000,,
18770513,14.40000,,
18770514,14.20000,,
18770515,15.10000,,
18770516,13.40000,,
18770517,13.90000,,
18770518,15.00000,,
18770519,12.10000,,
18770520,6.599999,,
18770521,8.099999,,
18770522,8.500000,,
18770523,9.800000,,
18770524,9.099999,,
18770525,10.30000,,
18770526,12.10000,,
18770527,13.50000,,
18770528,18.00000,,
18770529,17.10000,,
18770530,15.80000,,
18770531,15.80000,,
18770601,17.70000,,
18770602,17.20000,,
18770603,19.10000,,
18770604,22.90000,,
18770605,25.10000,,
18770606,23.00000,,
18770607,19.30000,,
18770608,21.00000,,
18770609,24.00000,,
18770610,24.40000,,
18770611,24.30000,,
18770612,20.80000,,
18770613,15.10000,,
18770614,15.90000,,
18770615,17.90000,,
18770616,16.00000,,
18770617,17.60000,,
18770618,20.80000,,
18770619,22.40000,,
18770620,22.30000,,
18770621,20.50000,,
18770622,20.10000,,
18770623,21.10000,,
18770624,17.10000,,
18770625,16.80000,,
18770626,18.70000,,
18770627,17.40000,,
18770628,16.30000,,
18770629,17.50000,,
18770630,21.90000,,
18770701,22.90000,,
18770702,21.10000,,
18770703,18.60000,,
18770704,17.90000,,
18770705,17.40000,,
18770706,19.10000,,
18770707,16.40000,,
18770708,14.70000,,
18770709,14.50000,,
18770710,15.50000,,
18770711,19.90000,,
18770712,19.60000,,
18770713,21.50000,,
18770714,22.20000,,
18770715,24.70000,,
18770716,19.70000,,
18770717,20.50000,,
18770718,19.90000,,
18770719,17.60000,,
18770720,18.20000,,
18770721,16.70000,,
18770722,20.10000,,
18770723,24.40000,,
18770724,26.60000,,
18770725,21.10000,,
18770726,19.90000,,
18770727,17.50000,,
18770728,17.20000,,
18770729,18.80000,,
18770730,19.20000,,
18770731,21.10000,,
18770801,20.70000,,
18770802,16.20000,,
18770803,14.90000,,
18770804,12.80000,,
18770805,15.30000,,
18770806,16.20000,,
18770807,19.20000,,
18770808,22.00000,,
18770809,20.20000,,
18770810,20.50000,,
18770811,20.70000,,
18770812,18.70000,,
18770813,19.00000,,
18770814,22.10000,,
18770815,21.50000,,
18770816,20.50000,,
18770817,18.60000,,
18770818,18.00000,,
18770819,18.50000,,
18770820,21.70000,,
18770821,22.60000,,
18770822,21.70000,,
18770823,19.30000,,
18770824,16.30000,,
18770825,16.60000,,
18770826,19.40000,,
18770827,17.90000,,
18770828,21.40000,,
18770829,19.10000,,
18770830,18.70000,,
18770831,18.30000,,
18770901,15.30000,,
18770902,13.40000,,
18770903,15.30000,,
18770904,13.10000,,
18770905,12.80000,,
18770906,13.30000,,
18770907,13.60000,,
18770908,12.40000,,
18770909,12.60000,,
18770910,13.70000,,
18770911,15.10000,,
18770912,15.80000,,
18770913,16.00000,,
18770914,16.70000,,
18770915,18.20000,,
18770916,13.40000,,
18770917,10.50000,,
18770918,10.70000,,
18770919,10.60000,,
18770920,9.300000,,
18770921,8.300000,,
18770922,8.300000,,
18770923,8.599999,,
18770924,9.000000,,
18770925,6.099999,,
18770926,6.800000,,
18770927,9.200000,,
18770928,11.10000,,
18770929,12.10000,,
18770930,11.60000,,
18771001,10.90000,,
18771002,11.40000,,
18771003,10.00000,,
18771004,10.70000,,
18771005,8.599999,,
18771006,4.900000,,
18771007,4.800000,,
18771008,7.099999,,
18771009,6.099999,,
18771010,5.100000,,
18771011,6.300000,,
18771012,6.300000,,
18771013,9.300000,,
18771014,12.30000,,
18771015,13.30000,,
18771016,11.00000,,
18771017,6.700000,,
18771018,5.300000,,
18771019,5.100000,,
18771020,6.400001,,
18771021,9.200000,,
18771022,10.20000,,
18771023,12.70000,,
18771024,11.60000,,
18771025,8.000000,,
18771026,9.500000,,
18771027,6.800000,,
18771028,6.700000,,
18771029,7.300000,,
18771030,7.800000,,
18771031,10.40000,,
18771101,9.200000,,
18771102,9.000000,,
18771103,7.200000,,
18771104,6.400001,,
18771105,7.599999,,
18771106,10.40000,,
18771107,11.90000,,
18771108,11.30000,,
18771109,11.60000,,
18771110,10.30000,,
18771111,9.900001,,
18771112,8.400001,,
18771113,10.10000,,
18771114,9.800000,,
18771115,10.00000,,
18771116,8.800000,,
18771117,7.700000,,
18771118,5.800000,,
18771119,6.500000,,
18771120,5.500000,,
18771121,4.800000,,
18771122,6.000000,,
18771123,6.700000,,
18771124,5.300000,,
18771125,4.800000,,
18771126,4.400000,,
18771127,3.300000,,
18771128,5.700000,,
18771129,3.700000,,
18771130,4.500000,,
18771201,5.200000,,
18771202,6.700000,,
18771203,5.900001,,
18771204,5.400001,,
18771205,5.100000,,
18771206,5.700000,,
18771207,6.000000,,
18771208,3.700000,,
18771209,2.900000,,
18771210,2.200000,,
18771211,0.4000000,,
18771212,2.400000,,
18771213,3.900000,,
18771214,2.800000,,
18771215,4.000000,,
18771216,3.100000,,
18771217,2.500000,,
18771218,1.200000,,
18771219,0.2000000,,
18771220,-1.200000,,
18771221,-3.700000,,
18771222,-6.400001,,
18771223,-0.1000000,,
18771224,1.600000,,
18771225,1.200000,,
18771226,-1.600000,,
18771227,0.5000000,,
18771228,0.000000,,
18771229,-0.5000000,,
18771230,3.000000,,
18771231,3.700000,,
18780101,4.000000,,
18780102,3.600000,,
18780103,3.300000,,
18780104,2.600000,,
18780105,3.900000,,
18780106,2.900000,,
18780107,4.300000,,
18780108,2.100000,,
18780109,-1.100000,,
18780110,-3.500000,,
18780111,-3.000000,,
18780112,0.1000000,,
18780113,1.800000,,
18780114,3.100000,,
18780115,2.700000,,
18780116,2.600000,,
18780117,2.400000,,
18780118,1.600000,,
18780119,1.500000,,
18780120,2.300000,,
18780121,2.900000,,
18780122,4.400000,,
18780123,5.900001,,
18780124,2.700000,,
18780125,1.400000,,
18780126,0.8000001,,
18780127,2.000000,,
18780128,0.3000000,,
18780129,0.4000000,,
18780130,1.300000,,
18780131,-1.600000,,
18780201,-0.2000000,,
18780202,-0.6999999,,
18780203,1.000000,,
18780204,-0.6000000,,
18780205,3.600000,,
18780206,4.200000,,
18780207,3.000000,,
18780208,3.200000,,
18780209,5.200000,,
18780210,3.300000,,
18780211,1.000000,,
18780212,-0.3000000,,
18780213,-0.5000000,,
18780214,2.700000,,
18780215,4.900000,,
18780216,7.200000,,
18780217,7.200000,,
18780218,7.800000,,
18780219,7.500000,,
18780220,2.900000,,
18780221,6.300000,,
18780222,8.400001,,
18780223,7.599999,,
18780224,7.000000,,
18780225,6.500000,,
18780226,5.100000,,
18780227,4.600000,,
18780228,8.099999,,
18780301,10.70000,,
18780302,11.00000,,
18780303,8.400001,,
18780304,7.900001,,
18780305,7.000000,,
18780306,5.800000,,
18780307,4.700000,,
18780308,3.800000,,
18780309,1.500000,,
18780310,2.000000,,
18780311,5.400001,,
18780312,3.600000,,
18780313,2.000000,,
18780314,0.2000000,,
18780315,-1.300000,,
18780316,-0.4000000,,
18780317,0.8000001,,
18780318,4.100000,,
18780319,5.400001,,
18780320,4.600000,,
18780321,7.099999,,
18780322,4.100000,,
18780323,3.200000,,
18780324,2.000000,,
18780325,2.700000,,
18780326,2.000000,,
18780327,3.400000,,
18780328,3.000000,,
18780329,7.400001,,
18780330,9.099999,,
18780331,4.700000,,
18780401,5.500000,,
18780402,5.000000,,
18780403,5.599999,,
18780404,8.099999,,
18780405,7.000000,,
18780406,7.099999,,
18780407,4.800000,,
18780408,4.000000,,
18780409,5.700000,,
18780410,9.800000,,
18780411,9.599999,,
18780412,11.40000,,
18780413,13.60000,,
18780414,14.70000,,
18780415,15.00000,,
18780416,15.70000,,
18780417,13.20000,,
18780418,13.20000,,
18780419,12.50000,,
18780420,10.70000,,
18780421,12.70000,,
18780422,12.00000,,
18780423,10.80000,,
18780424,12.30000,,
18780425,10.70000,,
18780426,10.00000,,
18780427,10.30000,,
18780428,12.70000,,
18780429,13.80000,,
18780430,15.00000,,
18780501,14.90000,,
18780502,15.40000,,
18780503,16.50000,,
18780504,16.10000,,
18780505,13.10000,,
18780506,13.90000,,
18780507,12.80000,,
18780508,7.200000,,
18780509,6.000000,,
18780510,8.900001,,
18780511,10.90000,,
18780512,12.40000,,
18780513,15.00000,,
18780514,18.20000,,
18780515,18.40000,,
18780516,17.60000,,
18780517,18.60000,,
18780518,21.60000,,
18780519,18.00000,,
18780520,14.80000,,
18780521,11.60000,,
18780522,9.900001,,
18780523,11.40000,,
18780524,15.80000,,
18780525,15.30000,,
18780526,13.40000,,
18780527,15.30000,,
18780528,17.30000,,
18780529,15.20000,,
18780530,14.40000,,
18780531,13.70000,,
18780601,12.30000,,
18780602,12.50000,,
18780603,14.40000,,
18780604,15.90000,,
18780605,14.80000,,
18780606,12.40000,,
18780607,13.80000,,
18780608,17.40000,,
18780609,19.80000,,
18780610,17.40000,,
18780611,17.50000,,
18780612,18.90000,,
18780613,16.70000,,
18780614,16.90000,,
18780615,17.80000,,
18780616,13.90000,,
18780617,15.60000,,
18780618,17.70000,,
18780619,17.80000,,
18780620,17.60000,,
18780621,19.50000,,
18780622,21.10000,,
18780623,21.10000,,
18780624,21.10000,,
18780625,22.20000,,
18780626,21.90000,,
18780627,20.30000,,
18780628,19.80000,,
18780629,20.20000,,
18780630,21.00000,,
18780701,19.20000,,
18780702,17.70000,,
18780703,16.40000,,
18780704,15.40000,,
18780705,15.40000,,
18780706,17.50000,,
18780707,16.00000,,
18780708,16.20000,,
18780709,16.20000,,
18780710,16.60000,,
18780711,15.30000,,
18780712,15.80000,,
18780713,16.80000,,
18780714,16.00000,,
18780715,16.70000,,
18780716,16.00000,,
18780717,15.60000,,
18780718,19.20000,,
18780719,18.50000,,
18780720,18.10000,,
18780721,20.80000,,
18780722,22.70000,,
18780723,22.00000,,
18780724,18.20000,,
18780725,17.50000,,
18780726,18.40000,,
18780727,18.70000,,
18780728,18.00000,,
18780729,17.00000,,
18780730,15.30000,,
18780731,17.40000,,
18780801,15.50000,,
18780802,16.10000,,
18780803,20.20000,,
18780804,21.80000,,
18780805,20.40000,,
18780806,22.60000,,
18780807,21.50000,,
18780808,21.50000,,
18780809,20.70000,,
18780810,21.20000,,
18780811,21.10000,,
18780812,20.00000,,
18780813,20.10000,,
18780814,17.60000,,
18780815,18.30000,,
18780816,19.40000,,
18780817,17.80000,,
18780818,18.40000,,
18780819,18.50000,,
18780820,16.70000,,
18780821,15.80000,,
18780822,16.70000,,
18780823,17.30000,,
18780824,17.60000,,
18780825,16.80000,,
18780826,18.40000,,
18780827,18.40000,,
18780828,18.60000,,
18780829,19.00000,,
18780830,20.50000,,
18780831,18.60000,,
18780901,18.30000,,
18780902,16.80000,,
18780903,16.50000,,
18780904,17.50000,,
18780905,18.70000,,
18780906,20.90000,,
18780907,19.60000,,
18780908,17.90000,,
18780909,18.60000,,
18780910,18.60000,,
18780911,16.90000,,
18780912,17.20000,,
18780913,18.30000,,
18780914,18.90000,,
18780915,19.30000,,
18780916,14.80000,,
18780917,14.10000,,
18780918,17.60000,,
18780919,13.90000,,
18780920,13.50000,,
18780921,12.60000,,
18780922,10.70000,,
18780923,9.900001,,
18780924,14.10000,,
18780925,15.90000,,
18780926,14.90000,,
18780927,12.30000,,
18780928,13.40000,,
18780929,13.30000,,
18780930,13.80000,,
18781001,12.10000,,
18781002,10.80000,,
18781003,11.70000,,
18781004,11.90000,,
18781005,13.40000,,
18781006,12.10000,,
18781007,13.70000,,
18781008,14.60000,,
18781009,14.70000,,
18781010,16.20000,,
18781011,13.10000,,
18781012,11.60000,,
18781013,11.00000,,
18781014,10.30000,,
18781015,10.10000,,
18781016,11.50000,,
18781017,12.50000,,
18781018,12.50000,,
18781019,12.30000,,
18781020,12.60000,,
18781021,10.80000,,
18781022,14.30000,,
18781023,11.40000,,
18781024,9.900001,,
18781025,12.80000,,
18781026,10.70000,,
18781027,11.00000,,
18781028,9.900001,,
18781029,7.400001,,
18781030,5.599999,,
18781031,5.200000,,
18781101,3.500000,,
18781102,4.400000,,
18781103,3.300000,,
18781104,4.300000,,
18781105,3.300000,,
18781106,1.000000,,
18781107,3.400000,,
18781108,4.800000,,
18781109,4.500000,,
18781110,4.100000,,
18781111,6.700000,,
18781112,5.200000,,
18781113,4.400000,,
18781114,6.599999,,
18781115,5.599999,,
18781116,5.200000,,
18781117,4.100000,,
18781118,4.100000,,
18781119,5.900001,,
18781120,4.600000,,
18781121,1.400000,,
18781122,0.4000000,,
18781123,1.100000,,
18781124,2.300000,,
18781125,7.500000,,
18781126,9.500000,,
18781127,10.50000,,
18781128,10.70000,,
18781129,8.599999,,
18781130,5.100000,,
18781201,3.500000,,
18781202,1.800000,,
18781203,5.100000,,
18781204,5.900001,,
18781205,4.300000,,
18781206,3.500000,,
18781207,2.300000,,
18781208,0.2000000,,
18781209,-0.1000000,,
18781210,1.000000,,
18781211,-0.1000000,,
18781212,0.2000000,,
18781213,0.6999999,,
18781214,-3.400000,,
18781215,-3.700000,,
18781216,-3.200000,,
18781217,-4.000000,,
18781218,-3.600000,,
18781219,-0.1000000,,
18781220,0.6000000,,
18781221,-2.100000,,
18781222,0.4000000,,
18781223,0.5000000,,
18781224,0.2000000,,
18781225,-1.300000,,
18781226,-1.500000,,
18781227,2.800000,,
18781228,4.300000,,
18781229,2.900000,,
18781230,4.400000,,
18781231,9.599999,,
18790101,7.200000,,
18790102,1.400000,,
18790103,0.6999999,,
18790104,1.300000,,
18790105,0.4000000,,
18790106,-0.8000001,,
18790107,-5.200000,,
18790108,-6.700000,,
18790109,-5.500000,,
18790110,-7.300000,,
18790111,-10.10000,,
18790112,-4.900000,,
18790113,-2.400000,,
18790114,-0.4000000,,
18790115,-1.800000,,
18790116,0.2000000,,
18790117,-2.300000,,
18790118,-1.300000,,
18790119,-2.900000,,
18790120,-1.700000,,
18790121,-3.300000,,
18790122,-6.400001,,
18790123,-7.300000,,
18790124,-2.000000,,
18790125,-0.6999999,,
18790126,0.6000000,,
18790127,0.5000000,,
18790128,-0.3000000,,
18790129,-1.200000,,
18790130,-3.000000,,
18790131,-7.099999,,
18790201,-7.400001,,
18790202,-9.300000,,
18790203,-6.400001,,
18790204,-3.000000,,
18790205,-1.200000,,
18790206,2.200000,,
18790207,4.400000,,
18790208,5.100000,,
18790209,6.500000,,
18790210,9.099999,,
18790211,8.000000,,
18790212,5.400001,,
18790213,1.400000,,
18790214,-0.8000001,,
18790215,0.6000000,,
18790216,0.6999999,,
18790217,2.800000,,
18790218,2.900000,,
18790219,0.6999999,,
18790220,-1.600000,,
18790221,1.800000,,
18790222,-1.000000,,
18790223,-1.700000,,
18790224,0.2000000,,
18790225,0.5000000,,
18790226,1.300000,,
18790227,1.100000,,
18790228,-1.800000,,
18790301,-0.2000000,,
18790302,1.500000,,
18790303,1.800000,,
18790304,2.500000,,
18790305,2.700000,,
18790306,4.700000,,
18790307,4.600000,,
18790308,5.400001,,
18790309,5.800000,,
18790310,7.300000,,
18790311,4.800000,,
18790312,3.700000,,
18790313,-1.200000,,
18790314,-0.6000000,,
18790315,0.3000000,,
18790316,5.300000,,
18790317,2.600000,,
18790318,0.9000000,,
18790319,2.500000,,
18790320,2.500000,,
18790321,-0.1000000,,
18790322,-0.6999999,,
18790323,-2.700000,,
18790324,-3.400000,,
18790325,-1.600000,,
18790326,-1.400000,,
18790327,-0.6999999,,
18790328,0.9000000,,
18790329,2.500000,,
18790330,6.900001,,
18790331,10.00000,,
18790401,12.20000,,
18790402,13.80000,,
18790403,12.00000,,
18790404,8.300000,,
18790405,6.500000,,
18790406,6.300000,,
18790407,9.700000,,
18790408,8.900001,,
18790409,7.900001,,
18790410,3.100000,,
18790411,0.5000000,,
18790412,4.300000,,
18790413,4.300000,,
18790414,4.500000,,
18790415,7.300000,,
18790416,7.099999,,
18790417,2.900000,,
18790418,2.200000,,
18790419,5.599999,,
18790420,7.800000,,
18790421,12.10000,,
18790422,10.50000,,
18790423,8.099999,,
18790424,8.099999,,
18790425,6.000000,,
18790426,7.900001,,
18790427,8.700000,,
18790428,4.300000,,
18790429,5.400001,,
18790430,5.700000,,
18790501,5.300000,,
18790502,5.599999,,
18790503,7.800000,,
18790504,9.500000,,
18790505,11.60000,,
18790506,11.80000,,
18790507,7.900001,,
18790508,8.000000,,
18790509,11.40000,,
18790510,8.200000,,
18790511,7.599999,,
18790512,8.900001,,
18790513,11.70000,,
18790514,13.30000,,
18790515,13.90000,,
18790516,11.80000,,
18790517,9.800000,,
18790518,9.099999,,
18790519,9.700000,,
18790520,14.00000,,
18790521,15.50000,,
18790522,17.00000,,
18790523,18.40000,,
18790524,19.30000,,
18790525,20.30000,,
18790526,17.70000,,
18790527,21.10000,,
18790528,21.20000,,
18790529,16.90000,,
18790530,17.70000,,
18790531,17.70000,,
18790601,18.00000,,
18790602,17.60000,,
18790603,17.70000,,
18790604,14.60000,,
